server time    : 2020-10-27 12:33:00(1603769580)
delay time     : 2.717
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
     1,      0.457,      0,      8,     -1
     2,           ,      4,      5,     -5
     3,           ,      0,      6,     -4
     4,           ,      4,     -3,      0
     5,           ,      3,      2,     -3
     6,           ,      0,      5,      0
     7,           ,      5,      2,     -2
     8,           ,      0,     -2,      1
     9,           ,      2,      0,      4
    10,           ,     -6,      0,     -4
    11,           ,     -4,      0,      3
    12,           ,     -8,     -2,      2
    13,           ,      4,     -6,      2
    14,           ,      3,     -9,      6
    15,           ,     -4,     -8,      3
    16,           ,     -6,      4,      5
    17,           ,      3,     -2,      6
    18,           ,     -6,     -5,      2
    19,           ,      5,     -6,      4
    20,           ,     -4,      0,      8
    21,           ,      2,      2,      1
    22,           ,     10,      3,     -4
    23,           ,     12,      7,     -1
    24,           ,      8,      5,      2
    25,           ,      9,      6,     -4
    26,           ,      3,     10,      1
    27,           ,      0,      6,      0
    28,           ,      7,      5,      2
    29,           ,      0,      3,      0
    30,           ,     -1,      1,     -1
    31,           ,     -1,      4,      1
    32,           ,      8,     -1,      2
    33,           ,     -2,     -2,     -2
    34,           ,     -2,     -5,      4
    35,           ,     -8,     -2,      0
    36,           ,     -2,      1,      0
    37,           ,     -6,     -6,      5
    38,           ,     -6,     -2,      3
    39,           ,     -2,     -7,      6
    40,           ,     -4,     -6,     -2
    41,           ,     -4,     -1,      4
    42,           ,     -2,     -7,      2
    43,           ,     -4,     -6,      6
    44,           ,      2,     -1,      7
    45,           ,     -4,      0,      5
    46,           ,     -9,      6,      4
    47,           ,      3,      0,     -1
    48,           ,      7,      1,     -1
    49,           ,      7,      7,     -4
    50,           ,      8,      1,      7
    51,           ,     -1,      7,     -2
    52,           ,      4,      1,     -5
    53,           ,      5,      4,     -5
    54,           ,     10,      5,      0
    55,           ,     -4,      3,      0
    56,           ,     -3,      3,      0
    57,           ,      3,      0,     -8
    58,           ,      3,      0,     -3
    59,           ,      3,     -3,     -1
    60,           ,     -6,      0,      1
    61,           ,     -5,      0,     -2
    62,           ,     -7,     -1,     -3
    63,           ,     -3,     -8,     -2
    64,           ,     -2,     -7,      7
    65,           ,     -9,    -12,      2
    66,           ,     -4,      0,      1
    67,           ,     -4,     -7,      1
    68,           ,     -1,     -7,      5
    69,           ,     -4,     -5,      3
    70,           ,     -2,      1,      3
    71,           ,     -4,      6,      4
    72,           ,      5,      2,      3
    73,           ,      0,      2,      1
    74,           ,      4,      2,      4
    75,           ,      5,      9,      2
    76,           ,      9,      6,      0
    77,           ,      9,      5,     -6
    78,           ,      6,      5,      0
    79,           ,      6,      5,      0
    80,           ,      3,      6,      2
    81,           ,     -1,     11,     -2
    82,           ,      4,      5,     -4
    83,           ,      7,      3,     -1
    84,           ,      4,      1,      1
    85,           ,      0,      1,      0
    86,           ,     -5,      1,      1
    87,           ,     -4,     -9,     -1
    88,           ,     -5,     -2,      3
    89,           ,     -8,     -5,      3
    90,           ,    -10,     -2,      2
    91,           ,     -6,     -6,      4
    92,           ,     -2,     -9,      6
    93,           ,      2,     -6,      1
    94,           ,     -3,     -8,      3
    95,           ,     -3,      2,      6
    96,           ,     -6,      3,      3
    97,           ,     -3,      5,      0
    98,           ,     -1,     -1,      1
    99,           ,      3,      3,     -2
   100,           ,      2,      6,     -5
   101,           ,      4,      9,     -3
   102,           ,      6,      5,     -4
   103,           ,      7,      7,     -4
   104,           ,      8,      4,     -4
   105,           ,     -1,      6,     -3
   106,           ,     -2,     10,     -6
   107,           ,      0,      4,     -5
   108,           ,     -1,      0,      0
   109,           ,      0,     -2,     -4
   110,           ,     -2,     -1,     -4
   111,           ,      0,      5,     -2
   112,           ,     -3,     -3,     -4
   113,           ,     -6,     -6,      0
   114,           ,     -3,      0,     -1
   115,           ,    -11,     -7,      3
   116,           ,     -9,     -1,     -1
   117,           ,     -6,     -5,     -4
   118,           ,     -4,     -5,      1
   119,           ,     -4,     -6,      5
   120,           ,     -4,     -3,      2
   121,           ,     -4,      0,      1
   122,           ,     -1,     -2,      1
   123,           ,     -2,     -3,      4
   124,           ,      2,      1,      2
   125,           ,      2,      5,      0
   126,           ,      4,      5,     -1
   127,           ,      9,     -1,     -2
   128,           ,      9,      2,     -2
   129,           ,     10,     11,      0
   130,           ,      4,      5,     -2
   131,           ,      0,      9,     -1
   132,           ,      7,      4,     -4
   133,           ,     -1,      6,     -3
   134,           ,      4,     -3,      0
   135,           ,      0,      0,     -2
   136,           ,     -6,      4,     -2
   137,           ,      3,     -3,      0
   138,           ,      4,     -1,      2
   139,           ,     -4,     -3,      6
   140,           ,     -9,     -2,      5
   141,           ,     -6,     -1,     -2
   142,           ,     -6,     -1,     -2
   143,           ,      0,     -3,      5
   144,           ,     -1,     -5,      4
   145,           ,     -3,     -6,      2
   146,           ,     -8,     -1,      3
   147,           ,     -2,     -1,      4
   148,           ,     -2,      1,      4
   148,      0.504,      0,      0,      3
   149,           ,     -2,      2,     -1
   150,           ,     -3,      3,     -8
   151,           ,      7,      4,      0
