server time    : 2020-10-27 12:27:52(1603769272)
delay time     : 2.829
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
     1,      0.457,      1,      3,      3
     2,           ,      8,      3,     -3
     3,           ,      7,     -1,      6
     4,           ,      6,     -5,      6
     5,           ,      6,     -2,     -1
     6,           ,      0,      5,     -1
     7,           ,      0,     -1,     -4
     8,           ,      0,      5,      0
     9,           ,     -6,     -5,      8
    10,           ,     -7,     -3,      6
    11,           ,     -4,     -1,      1
    12,           ,     -2,     -5,      4
    13,           ,      1,     -6,      0
    14,           ,     -1,     -3,      4
    15,           ,      0,     -5,      3
    16,           ,     -4,     -1,      3
    17,           ,      7,     -6,      5
    18,           ,      9,     -8,      3
    19,           ,      6,     -9,     13
    20,           ,     10,     -3,      4
    21,           ,     12,      4,      1
    22,           ,     18,      5,      0
    23,           ,     17,     -1,      5
    24,           ,     16,      7,      8
    25,           ,     10,      6,     -4
    26,           ,     11,     12,     -5
    27,           ,     12,      9,     -7
    28,           ,     10,      7,     -6
    29,           ,     10,      9,     -3
    30,           ,      8,      8,     -2
    31,           ,      5,     11,     -4
    32,           ,      6,      7,     -6
    33,           ,      0,      5,     -7
    34,           ,     -1,     11,     -4
    35,           ,     -6,      6,     -5
    36,           ,    -10,      8,     -1
    37,           ,     -1,     -6,     -3
    38,           ,     -3,     -7,      1
    39,           ,      0,     -8,      1
    40,           ,     -2,     -7,      1
    41,           ,      2,    -10,     -1
    42,           ,      2,     -7,      2
    43,           ,      9,     -7,     -1
    44,           ,      3,     -5,      5
    45,           ,      4,     -1,      1
    46,           ,      3,      2,     -5
    47,           ,     12,      2,     -3
    48,           ,      9,      4,     -6
    49,           ,     11,      7,     -4
    50,           ,      7,      7,     -7
    51,           ,      2,     15,     -8
    52,           ,      4,      9,     -3
    53,           ,      5,      4,     -5
    54,           ,     -4,      7,     -3
    55,           ,     -5,      6,    -10
    56,           ,     -4,      5,     -6
    57,           ,      3,      0,     -6
    58,           ,     -3,     -4,     -9
    59,           ,     -6,     -4,     -5
    60,           ,    -11,     -7,     -3
    61,           ,     -7,     -7,     -1
    62,           ,     -7,     -9,     -5
    63,           ,     -7,    -10,     -5
    64,           ,     -2,     -8,     -2
    65,           ,     -9,     -9,     -3
    66,           ,     -4,     -7,      0
    67,           ,      6,     -3,     -7
    68,           ,      2,     -5,     -4
    69,           ,      3,     -6,      2
    70,           ,      4,     -5,      0
    71,           ,      4,      5,     -4
    72,           ,      8,      5,      0
    73,           ,     10,      5,     -3
    74,           ,     10,      5,     -5
    75,           ,      7,      5,     -8
    76,           ,     -1,      7,     -5
    77,           ,      5,      4,    -10
    78,           ,      5,      1,     -5
    79,           ,     -4,      2,      0
    80,           ,     -6,      7,     -2
    81,           ,     -7,      0,     -6
    82,           ,     -6,      6,     -3
    83,           ,     -8,     -6,      0
    84,           ,     -9,     -6,      2
    85,           ,     -9,      2,     -2
    86,           ,    -10,      3,     -5
    87,           ,    -13,      2,     -1
    88,           ,     -5,     -1,     -5
    89,           ,     -6,     -5,      2
    90,           ,     -7,      1,     -1
    91,           ,     -6,      0,     -2
    92,           ,     -4,      2,     -4
    93,           ,      2,     -5,      2
    94,           ,      2,      1,      0
    95,           ,     -1,      5,      1
    96,           ,     -7,      7,     -4
    97,           ,      3,      2,     -2
    98,           ,      9,     -5,      1
    99,           ,      8,     -1,      3
   100,           ,      0,      2,     -2
   101,           ,      3,      6,     -4
   102,           ,      4,     -1,     -1
   103,           ,     -5,     -2,     -3
   104,           ,     -5,      1,     -2
   105,           ,     -9,     -3,     -6
   106,           ,     -9,      3,     -2
   107,           ,     -7,     -2,     -3
   108,           ,     -5,     -2,      2
   109,           ,     -7,      2,      2
   110,           ,    -13,      0,      1
   111,           ,    -12,      5,     -2
   112,           ,    -11,      0,      0
   113,           ,    -11,     -1,     -1
   114,           ,     -7,     -1,      5
   115,           ,    -10,      1,      4
   116,           ,     -7,      5,     -1
   117,           ,     -5,      2,      2
   118,           ,     -1,     -3,      2
   119,           ,     -1,     -3,      4
   120,           ,     -5,      2,      4
   121,           ,      0,      6,      1
   122,           ,      1,      6,      3
   123,           ,      7,     -2,      1
   124,           ,      6,      3,      0
   125,           ,      0,      2,      4
   126,           ,     -2,      0,     -2
   127,           ,      5,      2,     -3
   128,           ,      9,     -1,      4
   129,           ,      4,      2,      7
   130,           ,     -3,      2,      1
   131,           ,      0,      5,      5
   132,           ,      3,     -4,      5
   133,           ,      4,     -1,      4
   134,           ,      3,     -2,      2
   135,           ,     -5,      0,      2
   136,           ,     -4,      4,      2
   137,           ,     -2,      0,      2
   138,           ,     -1,     -7,      2
   139,           ,     -7,     -2,      9
   140,           ,     -7,      2,      3
   141,           ,     -5,      3,      4
   142,           ,     -4,     -2,      2
   143,           ,     -2,     -4,      2
   144,           ,     -5,     -4,      8
   145,           ,     -9,      3,      1
   146,           ,     -6,     -1,      4
   147,           ,     -2,      0,      6
   148,           ,      6,     -3,     11
   148,      0.505,      1,     -1,      6
   149,           ,      4,      0,      1
   150,           ,      6,     -1,     -3
   151,           ,      9,     -1,      2
   152,           ,     11,     -5,      9
   153,           ,      8,     -2,      5
   154,           ,      1,      1,      2
   155,           ,      7,      3,      6
   156,           ,      6,     -2,      2
   157,           ,     10,     -1,      5
   158,           ,      7,     -6,     12
   159,           ,      2,     -1,      2
   160,           ,      0,     -1,      1
   161,           ,      8,     -8,      4
   162,           ,     -2,     -6,      4
   163,           ,     -3,     -1,      6
   164,           ,     -8,     -2,      0
   165,           ,     -9,     -6,      7
   166,           ,     -6,     -2,     -1
   167,           ,     -4,     -6,      1
   168,           ,     -4,     -7,      7
   169,           ,     -7,     -5,      6
   170,           ,     -5,     -8,      0
   171,           ,      3,     -4,      2
   172,           ,      3,     -8,      5
   173,           ,      4,     -5,     10
   174,           ,      3,     -5,      8
   175,           ,      7,      0,      1
   176,           ,     13,     -2,      1
   177,           ,     16,     -3,      4
   178,           ,     15,     -2,      5
   179,           ,     12,      3,     -1
   180,           ,     10,      4,      1
   181,           ,     14,      6,     -1
   182,           ,     12,      6,      0
   183,           ,     11,      2,      0
   184,           ,     12,      4,     -2
   185,           ,      6,      4,     -4
   186,           ,     11,      8,     -5
   187,           ,     -2,      6,     -3
   188,           ,      4,     10,     -2
   189,           ,     -4,      6,      0
   190,           ,     -7,      6,     -3
   191,           ,     -4,      3,     -2
   192,           ,     -4,     -1,     -1
   193,           ,      2,      0,      1
   194,           ,     -3,     -7,      4
   195,           ,     -3,     -3,     -4
   196,           ,      4,     -2,     -2
   197,           ,     -1,     -2,      1
   198,           ,      5,     -3,      4
   199,           ,      4,     -1,      0
   200,           ,      4,      2,     -3
   201,           ,     12,      0,     -5
   202,           ,     17,      0,     -3
   203,           ,     16,      2,     -4
   204,           ,     12,      6,     -5
   205,           ,      6,     14,     -6
   206,           ,     10,     13,     -6
   207,           ,      8,      3,     -6
   208,           ,      6,     12,     -7
   209,           ,      3,      6,     -3
   210,           ,      0,      2,     -7
   211,           ,      4,      2,     -8
   212,           ,      2,     -4,     -7
   213,           ,      0,     -5,      0
   214,           ,     -3,     -8,     -4
   215,           ,     -6,      1,     -1
   216,           ,     -2,     -9,      2
   217,           ,      4,     -7,     -1
   218,           ,     -1,     -9,      0
   219,           ,     -3,     -8,     -5
   220,           ,     -2,     -5,      4
   221,           ,      4,     -8,      1
   222,           ,      4,     -8,      0
   223,           ,      0,     -5,     -3
   224,           ,      3,     -5,     -3
   225,           ,      2,      6,     -5
   226,           ,     14,      1,     -2
   227,           ,     10,      0,     -6
   228,           ,     14,     -2,     -5
   229,           ,      7,      8,     -6
   230,           ,      4,      7,     -4
   231,           ,      6,      4,     -5
   232,           ,      7,      0,     -3
   233,           ,      2,      3,     -2
   234,           ,     -9,      5,     -4
   235,           ,     -5,      8,     -6
   236,           ,     -1,      3,     -6
   237,           ,     -5,      0,     -9
   238,           ,     -8,     -1,     -4
   239,           ,    -11,      0,     -5
   240,           ,    -11,     -1,      1
   241,           ,    -11,      0,     -4
   242,           ,    -12,     -2,      2
   243,           ,    -10,     -1,      1
   244,           ,    -10,      2,     -5
   245,           ,    -10,      2,     -4
   246,           ,     -5,      2,     -3
   247,           ,     -2,     -2,      2
   248,           ,     -3,     -2,      4
   249,           ,     -2,      3,      1
   250,           ,      3,      1,      0
   251,           ,     -1,      2,     -1
   252,           ,      8,      1,     -1
   253,           ,      0,      4,     -2
   254,           ,      4,     -1,      2
   255,           ,      3,      3,     -8
   256,           ,     -1,      0,     -6
   257,           ,     -3,      0,      0
   258,           ,     -3,     -3,      1
   259,           ,     -3,      0,      0
   260,           ,    -12,      2,     -1
   261,           ,     -7,      3,     -2
   262,           ,    -10,     -2,     -3
   263,           ,     -7,     -2,      2
   264,           ,    -16,      1,     -1
   265,           ,    -11,      3,      0
   266,           ,     -8,      5,      1
   267,           ,    -14,      3,      2
   268,           ,    -12,      3,      4
   269,           ,    -11,     -2,      1
   270,           ,    -10,      3,     -1
   271,           ,      1,     -2,      1
   272,           ,     -3,     -2,      1
   273,           ,     -4,     -5,      6
   274,           ,     -4,      5,      1
   275,           ,     -4,      3,     -2
   276,           ,      0,      2,      4
   277,           ,      4,     -5,      2
   278,           ,      3,     -2,      8
   279,           ,      0,      4,     -1
   280,           ,      0,      5,     -1
   281,           ,      3,      3,      4
   282,           ,      4,      3,      2
   283,           ,      0,     -1,      8
   284,           ,     -3,      5,      2
   285,           ,     -2,      0,      3
   286,           ,     -3,      5,      6
   287,           ,      0,      0,      3
   288,           ,      3,     -3,      7
   289,           ,     -4,      5,      4
   290,           ,     -3,      3,      1
   291,           ,      0,     -3,      6
   292,           ,     -3,     -3,      8
   293,           ,     -5,     -1,      8
   294,           ,     -9,      2,      6
   295,           ,     -5,      2,      2
   295,      0.553,     -5,     -3,      3
   296,           ,     -1,     -3,      3
   297,           ,     -4,     -4,      5
   298,           ,     -9,      5,      3
   299,           ,    -10,      8,      0
   300,           ,     -6,     -2,      3
   301,           ,      0,     -3,      6
   302,           ,      1,      2,      4
   303,           ,      0,      2,     11
   304,           ,      3,      3,      2
   305,           ,      9,      1,      4
   306,           ,      7,      2,      3
   307,           ,      4,      1,      5
   308,           ,      7,     -1,      8
   309,           ,      4,      8,      4
   310,           ,     10,     -2,      3
   311,           ,      8,     -3,      3
   312,           ,      6,     -1,      6
   313,           ,      2,      0,      2
   314,           ,      3,     -3,      3
   315,           ,      3,     -6,      4
   316,           ,      0,     -9,      7
   317,           ,     -9,      1,      6
   318,           ,     -7,     -1,      5
   319,           ,     -7,     -1,      6
   320,           ,     -9,     -6,      4
   321,           ,      0,    -14,      6
   322,           ,      0,     -9,      9
   323,           ,     -8,     -5,      6
   324,           ,     -4,     -3,      5
   325,           ,      4,     -2,      5
   326,           ,      2,      0,      5
   327,           ,      4,     -4,     12
   328,           ,      6,     -1,      7
   329,           ,      7,     -9,      5
   330,           ,     16,      3,      3
   331,           ,     16,     -7,      5
   332,           ,     17,      1,      1
   333,           ,     10,      1,      3
   334,           ,     12,      5,      1
   335,           ,     11,      1,     -1
   336,           ,      9,      3,      0
   337,           ,      9,      5,      1
   338,           ,     10,      1,      2
   339,           ,      7,      7,     -9
   340,           ,      9,      7,     -3
   341,           ,      4,      5,      1
   342,           ,      2,      7,     -1
   343,           ,     -3,      8,      1
   344,           ,     -3,      7,     -3
   345,           ,     -2,      0,      3
   346,           ,      0,      1,     -3
   347,           ,     -3,     -1,      1
   348,           ,     -2,     -6,     -4
   349,           ,      3,     -2,     -1
   350,           ,      2,     -1,      4
   351,           ,      3,     -5,     -1
   352,           ,      4,     -3,      6
   353,           ,     -2,     -1,     -1
   354,           ,      2,      2,     -1
   355,           ,     12,      2,      1
   356,           ,      9,      6,     -5
   357,           ,     14,      5,     -3
   358,           ,     13,      9,     -2
   359,           ,      8,     11,     -1
   360,           ,     15,      9,     -2
   361,           ,     10,      9,     -5
   362,           ,      6,      8,     -9
   363,           ,     -4,      9,     -9
   364,           ,     -3,     12,     -9
   365,           ,      6,      4,     -5
   366,           ,     -5,      1,     -8
   367,           ,      2,      0,     -1
   368,           ,     -5,     -4,      1
   369,           ,     -8,      0,     -5
   370,           ,     -4,     -8,     -2
   371,           ,     -1,     -1,     -1
   372,           ,     -6,     -6,     -1
   373,           ,     -1,     -5,      0
   374,           ,      0,     -9,      0
   375,           ,      4,     -5,     -5
   376,           ,      4,    -12,      2
   377,           ,      8,     -5,      0
   378,           ,      8,     -6,     -6
   379,           ,      6,     -2,      2
   380,           ,      2,      3,     -5
   381,           ,      7,     -5,     -6
   382,           ,      7,      2,      0
   383,           ,      9,      3,     -7
   384,           ,      5,      8,    -10
   385,           ,      6,      6,     -3
   386,           ,      6,      4,    -10
   387,           ,      4,     -2,     -1
   388,           ,     -3,      1,     -7
   389,           ,     -9,      7,     -5
   390,           ,     -4,     -1,     -2
   391,           ,     -9,      2,     -5
   392,           ,    -10,     -1,     -3
   393,           ,     -7,      5,     -1
   394,           ,    -13,      0,      0
   395,           ,    -15,      1,     -3
   396,           ,     -5,     -5,      2
   397,           ,     -8,     -5,      0
   398,           ,     -7,      0,      0
   399,           ,     -5,      7,     -2
   400,           ,      0,     -5,     -1
   401,           ,      0,     -6,     -1
   402,           ,     -1,      2,      2
   403,           ,     -1,     -3,      0
   404,           ,      4,      2,     -1
   405,           ,      5,      3,     -3
   406,           ,      7,     -2,      2
   407,           ,      7,      0,      3
   408,           ,      4,      2,      2
   409,           ,      6,     -3,     -2
   410,           ,     10,     -6,     -5
   411,           ,     -1,     -1,      1
   412,           ,      5,     -3,      0
   413,           ,     -9,      2,     -2
   414,           ,     -4,      3,      3
   415,           ,     -9,      2,      3
   416,           ,     -4,      2,      4
   417,           ,     -9,     -1,      6
   418,           ,    -11,      0,      0
   419,           ,    -10,      5,      2
   420,           ,     -6,      5,      2
   421,           ,    -12,      4,     -2
   422,           ,     -7,      4,      8
