accelometer ODR: 3200 Hz
total # of rows: 117
counter, adxl X, vari X, adxl Y, vari Y, adxl Z, vari Z, Temp.,   light, magnet X, magnet Y, magnet Z
      0,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00,  0.00,  61.560,      0.0,      0.0,      0.0
      1,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,      0.0,      0.0,      0.0
      2,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,    117.4,     39.4,    191.8
      3,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,    117.4,     39.4,    191.8
      4,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,   -142.4,    -53.9,   -128.4
      5,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,   -142.4,    -53.9,   -128.4
      6,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,   -154.7,    -51.0,   -115.5
      7,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,   -154.7,    -51.0,   -115.5
      8,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,   -165.9,    -49.2,   -103.1
      9,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,   -165.9,    -49.2,   -103.1
     10,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.17,  61.560,   -175.3,    -45.6,    -90.2
     11,    0.0,   0.45,    0.0,   0.26,    0.0,   0.18, 23.17,  61.560,   -175.3,    -45.6,    -90.2
     12,    0.0,   0.45,    0.0,   0.26,    0.0,   0.18, 23.17,  61.560,   -175.3,    -45.6,    -90.2
     13,    0.0,   0.51,    0.0,   0.20,    0.0,   0.17, 23.17,  61.560,   -175.3,    -45.6,    -90.2
     14,    0.0,   0.51,    0.0,   0.20,    0.0,   0.17, 23.17,  61.560,    282.9,    -54.6,    -46.8
     15,    0.0,   0.46,    0.0,   0.22,    0.0,   0.18, 23.17,  61.560,    282.9,    -54.6,    -46.8
     16,    0.0,   0.46,    0.0,   0.22,    0.0,   0.18, 23.17,  61.560,    282.9,    -54.6,    -46.8
     17,    0.0,   0.54,    0.0,   0.19,    0.0,   0.19, 23.17,  61.560,    282.9,    -54.6,    -46.8
     18,    0.0,   0.54,    0.0,   0.19,    0.0,   0.19, 23.17,  61.560,    276.1,    -56.4,    -55.1
     19,    0.0,   0.45,    0.0,   0.20,    0.0,   0.17, 23.17,  61.560,    276.1,    -56.4,    -55.1
     20,    0.0,   0.50,    0.0,   0.24,    0.0,   0.22, 23.17,  61.560,    276.1,    -56.4,    -55.1
     21,    0.0,   0.50,    0.0,   0.24,    0.0,   0.22, 23.17,  61.560,    276.1,    -56.4,    -55.1
     22,    0.0,   0.50,    0.0,   0.24,    0.0,   0.22, 23.17,  61.560,    268.1,    -59.7,    -65.7
     23,    0.0,   0.53,    0.0,   0.24,    0.0,   0.22, 23.17,  61.560,    268.1,    -59.7,    -65.7
     24,    0.0,   0.48,    0.0,   0.28,    0.0,   0.20, 23.17,  61.560,    268.1,    -59.7,    -65.7
     25,    0.0,   0.48,    0.0,   0.28,    0.0,   0.20, 23.17,  61.560,    268.1,    -59.7,    -65.7
     26,    0.0,   0.51,    0.0,   0.24,    0.0,   0.24, 23.17,  61.560,    268.1,    -59.7,    -65.7
     27,    0.0,   0.51,    0.0,   0.24,    0.0,   0.24, 23.17,  61.560,    255.1,    -64.4,    -79.7
     28,    0.0,   0.43,    0.0,   0.20,    0.0,   0.21, 23.17,  61.560,    255.1,    -64.4,    -79.7
     29,    0.0,   0.43,    0.0,   0.20,    0.0,   0.21, 23.17,  61.920,    255.1,    -64.4,    -79.7
     30,    0.0,   0.40,    0.0,   0.17,    0.0,   0.21, 23.17,  61.920,    255.1,    -64.4,    -79.7
     31,    0.0,   0.40,    0.0,   0.17,    0.0,   0.21, 23.17,  61.920,    239.9,    -66.5,    -90.2
     32,    0.0,   0.39,    0.0,   0.21,    0.0,   0.22, 23.17,  61.920,    239.9,    -66.5,    -90.2
     33,    0.0,   0.39,    0.0,   0.21,    0.0,   0.22, 23.17,  61.920,    239.9,    -66.5,    -90.2
     34,    0.0,   0.44,    0.0,   0.17,    0.0,   0.19, 23.17,  61.920,    239.9,    -66.5,    -90.2
     35,    0.0,   0.44,    0.0,   0.17,    0.0,   0.19, 23.17,  61.920,   -159.1,      6.5,     59.6
     36,    0.0,   0.45,    0.0,   0.18,    0.0,   0.22, 23.17,  61.920,   -159.1,      6.5,     59.6
     37,    0.0,   0.45,    0.0,   0.18,    0.0,   0.22, 23.17,  61.920,   -159.1,      6.5,     59.6
     38,    0.0,   0.43,    0.0,   0.21,    0.0,   0.19, 23.17,  61.920,   -159.1,      6.5,     59.6
     39,    0.0,   0.43,    0.0,   0.21,    0.0,   0.19, 23.17,  61.920,   -159.4,      4.7,     59.6
     40,    0.0,   0.47,    0.0,   0.22,    0.0,   0.18, 23.17,  61.920,   -159.4,      4.7,     59.6
     41,    0.0,   0.51,    0.0,   0.19,    0.0,   0.16, 23.17,  61.920,   -159.4,      4.7,     59.6
     42,    0.0,   0.51,    0.0,   0.19,    0.0,   0.16, 23.17,  61.920,   -159.4,      4.7,     59.6
     43,    0.0,   0.51,    0.0,   0.19,    0.0,   0.16, 23.17,  61.920,   -150.4,      8.2,     70.2
     44,    0.0,   0.46,    0.0,   0.23,    0.0,   0.18, 23.17,  61.920,   -150.4,      8.2,     70.2
     45,    0.0,   0.49,    0.0,   0.27,    0.0,   0.22, 23.17,  61.920,   -150.4,      8.2,     70.2
     46,    0.0,   0.49,    0.0,   0.27,    0.0,   0.22, 23.17,  61.920,   -150.4,      8.2,     70.2
     47,    0.0,   0.47,    0.0,   0.23,    0.0,   0.17, 23.17,  61.920,   -150.4,      8.2,     70.2
     48,    0.0,   0.47,    0.0,   0.23,    0.0,   0.17, 23.17,  61.920,   -142.1,      9.0,     78.2
     49,    0.0,   0.47,    0.0,   0.21,    0.0,   0.23, 23.17,  61.920,   -142.1,      9.0,     78.2
     50,    0.0,   0.47,    0.0,   0.21,    0.0,   0.23, 23.17,  61.920,   -142.1,      9.0,     78.2
     51,    0.0,   0.51,    0.0,   0.23,    0.0,   0.22, 23.17,  61.920,   -142.1,      9.0,     78.2
     52,    0.0,   0.51,    0.0,   0.23,    0.0,   0.22, 23.17,  61.920,   -135.2,     13.7,     85.3
     53,    0.0,   0.56,    0.0,   0.22,    0.0,   0.26, 23.17,  61.920,   -135.2,     13.7,     85.3
     54,    0.0,   0.56,    0.0,   0.22,    0.0,   0.26, 23.17,  61.920,   -135.2,     13.7,     85.3
     55,    0.0,   0.45,    0.0,   0.23,    0.0,   0.25, 23.17,  61.920,   -135.2,     13.7,     85.3
     56,    0.0,   0.45,    0.0,   0.23,    0.0,   0.25, 23.17,  61.920,    293.4,     -2.6,    101.6
     57,    0.0,   0.47,    0.0,   0.23,    0.0,   0.23, 23.17,  61.920,    293.4,     -2.6,    101.6
     58,    0.0,   0.47,    0.0,   0.23,    0.0,   0.23, 23.17,  61.920,    293.4,     -2.6,    101.6
     59,    0.0,   0.49,    0.0,   0.20,    0.0,   0.20, 23.17,  61.920,    293.4,     -2.6,    101.6
     60,    0.0,   0.49,    0.0,   0.20,    0.0,   0.20, 23.17,  61.920,    295.6,     -1.5,    101.2
     61,    0.0,   0.48,    0.0,   0.18,    0.0,   0.23, 23.17,  61.920,    295.6,     -1.5,    101.2
     62,    0.0,   0.51,    0.0,   0.22,    0.0,   0.21, 23.17,  61.920,    295.6,     -1.5,    101.2
     63,    0.0,   0.51,    0.0,   0.22,    0.0,   0.21, 23.17,  61.560,    295.6,     -1.5,    101.2
     64,    0.0,   0.51,    0.0,   0.22,    0.0,   0.21, 23.17,  61.560,    300.3,     -4.4,     94.8
     65,    0.0,   0.45,    0.0,   0.19,    0.0,   0.18, 23.17,  61.560,    300.3,     -4.4,     94.8
     66,    0.0,   0.39,    0.0,   0.26,    0.0,   0.18, 23.17,  61.560,    300.3,     -4.4,     94.8
     67,    0.0,   0.39,    0.0,   0.26,    0.0,   0.18, 23.17,  61.920,    300.3,     -4.4,     94.8
     68,    0.0,   0.46,    0.0,   0.22,    0.0,   0.17, 23.17,  61.920,    300.3,     -4.4,     94.8
