accelometer ODR: 3200 Hz
 Row #, X-AXIS, Y-AXIS, Z-AXIS
     1,     -1,      4,      2
     2,      0,      2,     -2
     3,      6,      2,      3
     4,      4,     -4,      4
     5,      0,     -7,      5
     6,     -2,      0,      1
     7,      6,      0,      0
     8,     -3,      0,      1
     9,      2,      1,      3
    10,     -2,      1,      5
    11,     -3,      1,     -3
    12,      0,     -1,     -3
    13,     -4,     -3,      4
    14,     -1,      3,      2
    15,     -4,      2,     -1
    16,     -5,      4,      1
    17,     -2,      0,     -2
    18,      4,     -3,      2
    19,      4,      0,      2
    20,      0,      0,     -1
    21,      0,      9,      1
    22,      0,      0,     -4
    23,     -1,     -5,     -1
    24,     -2,     -5,      1
    25,     -4,      4,     -1
    26,     -4,      2,      3
    27,      0,      1,     -3
    28,      2,     -2,      3
    29,     -1,     -2,      2
    30,      0,      0,      1
    31,     -2,      3,     -3
    32,      3,     -1,      1
    33,      5,      1,     -5
    34,     -1,     -1,      0
    35,     -2,      1,     -1
    36,     -2,      7,      1
    37,      5,      1,     -2
    38,      2,      2,      2
    39,     -1,      0,      2
    40,      4,     -2,      2
    41,     -4,      4,      0
    42,      0,      0,     -2
    43,     -2,     -2,      0
    44,      0,      0,      5
    45,     -3,     -1,      2
    46,     -3,      4,     -3
    47,      3,      0,      2
    48,      2,      0,      2
    49,     -3,     -3,      0
    50,     -1,      4,      1
    51,     -1,      6,      1
    52,      3,      1,      1
    53,      2,     -4,     -2
    54,      2,     -2,      1
    55,     -3,     -1,      1
    56,     -2,      0,     -5
    57,     -2,      1,     -3
    58,      0,     -1,     -2
    59,     -1,      3,      3
    60,      2,     -1,      3
    61,     -2,      4,     -1
    62,      2,     -4,     -1
    63,      4,     -1,     -2
    64,      4,     -1,      3
    65,     -5,      2,     -3
    66,     -2,      3,      1
    67,     -2,      2,     -2
    68,      4,      2,      1
    69,      3,      0,      2
    70,     -4,      1,      0
    71,     -5,      1,     -2
    72,      4,     -6,      2
    73,      0,     -1,      1
    74,     -1,      0,      4
    75,     -3,     -2,      0
    76,     -6,      4,     -4
    77,      7,      0,     -4
    78,     -1,      1,      1
    79,      2,     -3,      0
    80,     -3,     -6,      1
    81,     -3,      2,      0
    82,     -2,      0,     -3
    83,      0,     -4,      0
    84,      0,     -4,      4
    85,      0,     -1,      1
    86,      0,      1,     -3
    87,      5,      3,     -3
    88,      0,      0,      0
    89,      0,     -3,      5
    90,      2,     -2,      3
    91,      0,      2,     -3
    92,      3,      1,     -1
    93,      0,     -4,     -1
    94,      0,      0,     -1
    95,     -6,     -1,     -2
    96,     -4,      4,     -2
    97,      3,      1,     -4
    98,      0,     -4,     -1
    99,      2,     -3,      1
   100,      0,      1,      0
   101,     -3,      0,      2
   102,     -5,     -1,     -8
   103,      2,     -4,     -2
   104,      3,     -4,      1
   105,     -1,      0,      5
   106,      3,      2,     -5
