Timestamp: 2020-10-24 20:38:03(1603539483.000)
Accelometer ODR: 3200 Hz
11.03, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00
55.55, 55.55, 00.1b, 12.94, 5f.83, 0b.00, 00.03, 64.00
0f.91, 1c.00, c0.1b, fe.ff, 04.00, 00.00, 03.00, ff.ff
fe.ff, 04.00, fe.ff, fd.ff, ff.ff, 03.00, 03.00, f7.ff
ff.ff, fd.ff, 03.00, 03.00, fe.ff, fd.ff, ff.ff, fe.ff
03.00, fb.ff, 01.00, 02.00, 00.00, 02.00, fb.ff, 00.00
05.00, fc.ff, 03.00, fd.ff, 03.00, ff.ff, 00.00, fc.ff
ff.ff, fd.ff, 04.00, fe.ff, ff.ff, fc.ff, 01.00, 04.00
fe.ff, 03.00, 03.00, 03.00, 02.00, 02.00, 04.00, 02.00
fd.ff, 03.00, 00.00, 02.00, fc.ff, 02.00, 01.00, fd.ff
04.00, ff.ff, 04.00, ff.ff, fd.ff, fe.ff, fe.ff, fd.ff
03.00, fc.ff, 02.00, 03.00, 00.00, 00.00, f8.ff, 01.00
fd.ff, 00.00, 00.00, fd.ff, ff.ff, fc.ff, 03.00, 03.00
01.00, 01.00, fa.ff, ff.ff, 00.00, fb.ff, 04.00, 01.00
00.00, fe.ff, fe.ff, 03.00, ff.ff, 01.00, fe.ff, fc.ff
06.00, fc.ff, 02.00, 00.00, fd.ff, ff.ff, 03.00, fd.ff
fb.ff, ff.ff, 03.00, fe.ff, ff.ff, ff.ff, fe.ff, fe.ff
fd.ff, fe.ff, 03.00, ff.ff, 01.00, ff.ff, 08.00, 02.00
fc.ff, 00.00, ff.ff, ff.ff, fe.ff, 03.00, 03.00, 02.00
01.00, ff.ff, fe.ff, 00.00, ff.ff, 04.00, 00.00, fe.ff
00.00, ff.ff, ff.ff, 00.00, fe.ff, 02.00, fd.ff, fc.ff
05.00, 00.00, 01.00, fd.ff, ff.ff, ff.ff, 01.00, 00.00
fc.ff, 04.00, 00.00, 00.00, 01.00, fd.ff, 00.00, 00.00
