server time    : 2020-10-28 16:05:35(1603868735)
delay time     : 1.904
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
     1,      0.457,    -10,     -2,    -11
     2,           ,     -2,     -3,    -13
     3,           ,     -3,     -5,     -7
     4,           ,     -6,    -10,     -6
     5,           ,    -11,     -7,     -7
     6,           ,    -11,      2,      0
     7,           ,     -6,     -5,      1
     8,           ,     -7,     -4,      4
     9,           ,     -5,     -7,      7
    10,           ,     -8,     -1,      9
    11,           ,     -6,      2,     10
    12,           ,      2,     -7,     12
    13,           ,      5,      1,     11
    14,           ,      8,      0,     12
    15,           ,      9,      4,     12
    16,           ,      9,      1,     12
    17,           ,     11,      5,      5
    18,           ,      8,      4,      9
    19,           ,     12,      4,      4
    20,           ,      9,      7,      3
    21,           ,      8,     10,      3
    22,           ,     12,      7,     -2
    23,           ,     16,      2,     -5
    24,           ,      7,      3,     -6
    25,           ,      3,      9,     -8
    26,           ,     -4,      4,    -10
    27,           ,      0,      1,    -10
    28,           ,     -2,     -5,     -8
    29,           ,     -6,     -6,     -4
    30,           ,    -10,     -2,     -4
    31,           ,     -8,     -4,    -10
    32,           ,     -6,     -7,     -3
    33,           ,     -8,     -8,      0
    34,           ,    -11,    -10,      6
    35,           ,    -13,     -5,      6
    36,           ,     -6,     -3,      8
    37,           ,      0,     -5,     12
    38,           ,     -1,     -1,      6
    39,           ,      8,     -4,     13
    40,           ,     -1,      3,      8
    41,           ,      6,      3,      9
    42,           ,      8,      5,      4
    43,           ,      7,      5,      2
    44,           ,     14,      2,      7
    45,           ,      4,      9,      0
    46,           ,      4,     11,     -1
    47,           ,     11,      7,     -3
    48,           ,     14,      2,     -4
    49,           ,      5,      3,     -7
    50,           ,      8,      0,    -10
    51,           ,     -2,      6,    -15
    52,           ,      0,      4,    -11
    53,           ,     -1,     -3,     -8
    54,           ,     -2,     -1,    -10
    55,           ,    -10,     -3,    -10
    56,           ,    -14,     -4,    -10
    57,           ,     -7,     -1,     -8
    58,           ,    -10,     -8,     -3
    59,           ,     -9,    -11,      2
    60,           ,    -15,     -7,     -4
    61,           ,    -12,      0,      0
    62,           ,     -6,     -3,     10
    63,           ,     -7,     -8,      9
    64,           ,      1,     -6,      9
    65,           ,      0,      0,      9
    66,           ,      3,      1,      7
    67,           ,      8,      1,     10
    68,           ,      6,      1,      5
    69,           ,     11,      4,     11
    70,           ,      6,      3,      7
    71,           ,      4,      7,      2
    72,           ,     12,      4,      1
    73,           ,      8,      3,      0
    74,           ,     11,      5,     -4
    75,           ,      6,      3,     -3
    76,           ,      8,      2,    -10
    77,           ,      0,      2,    -11
    78,           ,     -2,      2,    -10
    79,           ,     -5,     -2,     -6
    80,           ,    -10,      1,    -10
    81,           ,     -8,      0,    -10
    82,           ,     -7,     -6,     -5
    83,           ,     -9,     -9,     -2
    84,           ,     -6,     -1,     -4
    85,           ,    -11,     -2,      0
    86,           ,    -14,     -5,     -2
    87,           ,     -9,     -4,      3
    88,           ,      3,     -9,      5
    89,           ,     -4,     -4,     10
    90,           ,     -1,      4,      9
    91,           ,      2,      1,     12
    92,           ,     10,      2,      2
    93,           ,     10,      3,      9
    94,           ,     11,     -1,     16
    95,           ,      6,      5,      6
    96,           ,      4,      6,      2
    97,           ,      7,      5,      2
    98,           ,      8,      6,      1
    99,           ,     10,      6,      0
   100,           ,      8,      6,     -3
   101,           ,      4,      6,    -11
   102,           ,      4,      2,    -11
   103,           ,      0,      0,     -8
   104,           ,     -1,     -5,     -9
   105,           ,     -4,     -3,    -12
