accelometer ODR: 3200 Hz
total # of rows: 113
counter, adxl X, vari X, adxl Y, vari Y, adxl Z, vari Z, Temp.,   light, magnet X, magnet Y, magnet Z
      0,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00,  0.00,  45.540,      0.0,      0.0,      0.0
      1,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,      0.0,      0.0,      0.0
      2,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,   -114.3,    -67.7,     71.0
      3,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,   -114.3,    -67.7,     71.0
      4,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,     60.4,    141.4,     15.6
      5,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,     60.4,    141.4,     15.6
      6,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,     64.4,    150.1,     12.5
      7,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,     64.4,    150.1,     12.5
      8,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,     63.6,    161.6,     12.1
      9,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,     63.6,    161.6,     12.1
     10,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.22,  45.540,     62.9,    171.1,      9.5
     11,    0.0,   0.58,    0.0,   0.25,    0.0,   0.58, 24.22,  45.540,     62.9,    171.1,      9.5
     12,    0.0,   0.58,    0.0,   0.25,    0.0,   0.58, 24.22,  45.540,     62.9,    171.1,      9.5
     13,    0.0,   0.55,    0.0,   0.31,    0.0,   0.54, 24.22,  45.540,     62.9,    171.1,      9.5
     14,    0.0,   0.55,    0.0,   0.31,    0.0,   0.54, 24.22,  45.540,   -153.4,   -108.9,     78.2
     15,    0.1,   0.51,    0.0,   0.25,    0.0,   0.62, 24.22,  45.540,   -153.4,   -108.9,     78.2
     16,    0.1,   0.51,    0.0,   0.25,    0.0,   0.62, 24.22,  45.540,   -153.4,   -108.9,     78.2
